"INTERPRO2GO","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"InterPro2GO;GO:0008150 biological_process;GO:0019222 regulation of metabolic process;IPR039778 Programmed cell death protein 4;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0042221 response to chemical;IPR003012 Tetracycline transcriptional regulator, TetR;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0042221 response to chemical;IPR012556 Entericidin A/B;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0045454 cell redox homeostasis;IPR011909 Glutaredoxin-like protein NrdH;",NA,NA,NA,NA,NA,2,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;GO:0065003 protein-containing complex assembly;GO:0017004 cytochrome complex assembly;IPR027243 Mitochondrial chaperone BCS1;",NA,NA,NA,NA,NA,1,NA,NA,1
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;GO:0065003 protein-containing complex assembly;IPR013945 V-type ATPase assembly factor Pkr1;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;GO:0065003 protein-containing complex assembly;IPR035269 26S Proteasome non-ATPase regulatory subunit 9;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;GO:0065003 protein-containing complex assembly;IPR039131 Complex I intermediate-associated protein 30, mitochondrial;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;GO:0065003 protein-containing complex assembly;IPR040357 Vma22/CCDC115;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;GO:0071103 DNA conformation change;IPR005741 DNA topoisomerase IV subunit A, Gram-positive;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR003285 Eukaryotic peptide chain release factor GTP-binding subunit;",NA,NA,NA,NA,NA,1,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR004584 DNA repair protein Rad50, eukaryotes;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR008733 Peroxisomal biogenesis factor 11;",NA,NA,NA,NA,NA,2,NA,NA,3
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR009203 Knr4/Smi1 family;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR009430 Gas vesicle protein GvpL/GvpF;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR013377 Peptidoglycan hydrolase FlgJ;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR023559 Flagellar transcriptional activator FlhD;",NA,NA,NA,NA,NA,1,1,2,1
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR027539 Mitochondrial distribution and morphology protein 10;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR028598 WD repeat BOP1/Erb1;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR030072 Xin actin-binding repeat-containing protein 1/2;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR039300 Protein JASON;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;GO:0071840 cellular component organization or biogenesis;IPR040418 Protein crowded nuclei;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR001325 Interleukin-4/interleukin-13;IPR002354 Interleukin-4;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR001372 Dynein light chain, type 1/2;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR002069 Interferon gamma;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR004670 Na+/H+ antiporter NhaA;",NA,NA,NA,NA,NA,1,3,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR005527 Cell division topological specificity factor MinE;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR006952 Retinal cGMP phosphodiesterase, gamma subunit;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR006985 Receptor activity modifying protein;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR007925 Relaxosome protein TraM;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR009294 Gamma-secretase subunit Aph-1;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR011924 Lipoprotein releasing system, ATP-binding protein;",NA,NA,NA,NA,NA,1,NA,1,1
"InterPro2GO;GO:0008150 biological_process;Other;IPR013964 DASH complex subunit Ask1;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR026880 Toll-like receptor 7;",NA,NA,NA,NA,NA,1,NA,1,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR027025 Heterogeneous nuclear ribonucleoprotein U-like protein 1;",NA,NA,NA,NA,NA,1,NA,NA,1
"InterPro2GO;GO:0008150 biological_process;Other;IPR027084 Protein kinase Mps1 family;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR027640 Kinesin-like protein;IPR033291 Armadillo repeat-containing kinesin-like protein, plants;",NA,NA,NA,NA,NA,2,NA,NA,NA
"InterPro2GO;GO:0008150 biological_process;Other;IPR040462 Protein EARLY FLOWERING 4;",NA,NA,NA,NA,NA,1,NA,NA,1
"InterPro2GO;Unclassified;IPR000560 Histidine phosphatase superfamily, clade-2;IPR037446 Histidine acid phosphatase, VIP1 family;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;Unclassified;IPR000944 Transcription regulator Rrf2-type;IPR010242 Transcription factor HTH,  IscR;",NA,NA,NA,NA,NA,1,NA,1,NA
"InterPro2GO;Unclassified;IPR001057 Glutamate/acetylglutamate kinase;IPR004662 Acetylglutamate kinase family;IPR037528 Acetylglutamate kinase ArgB;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR001310 Histidine triad (HIT) protein;IPR026026 Histidine triad hydrolase, Hint-type;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR002081 Cryptochrome/DNA photolyase class 1;IPR014134 Cryptochrome, plant;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR002347 Short-chain dehydrogenase/reductase SDR;IPR011286 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;Unclassified;IPR002549 Transmembrane protein TqsA-like;IPR014227 Putative transport protein YtvI-like;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;Unclassified;IPR002816 TraB family;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR002876 Transcriptional regulator TACO1-like;",NA,NA,NA,NA,NA,1,NA,NA,1
"InterPro2GO;Unclassified;IPR003737 N-acetylglucosaminyl phosphatidylinositol deacetylase-related;IPR017810 Mycothiol biosynthesis protein, MshB;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR004241 Autophagy protein Atg8 ubiquitin-like;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR005198 Glycoside hydrolase, family 76;IPR014480 Mannan endo-1,6-alpha-mannosidase;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR005651 Trm112-like;",NA,NA,NA,NA,NA,1,2,NA,NA
"InterPro2GO;Unclassified;IPR006175 YjgF/YER057c/UK114 family;IPR035709 RutC family, YoaB-like;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;Unclassified;IPR006533 Type VI secretion system, RhsGE-associated Vgr protein;",NA,NA,NA,NA,NA,1,1,NA,1
"InterPro2GO;Unclassified;IPR007184 Mannoside phosphorylase;IPR028583 4-O-beta-D-mannosyl-D-glucose phosphorylase;",NA,NA,NA,NA,NA,2,NA,NA,NA
"InterPro2GO;Unclassified;IPR007318 Phospholipid methyltransferase;IPR016219 Phosphatidylethanolamine N-methyltransferase, fungi;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;Unclassified;IPR007318 Phospholipid methyltransferase;IPR024960 Phosphatidyl-N-methylethanolamine/Phosphatidylethanolamine N-methyltransferase;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR007400 PrpF protein;IPR012709 2-methyl-aconitate isomerase PrpF;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;Unclassified;IPR009649 TraU;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR009916 Protein of unknown function DUF1453;IPR031306 CcdC protein;",NA,NA,NA,NA,NA,2,NA,NA,NA
"InterPro2GO;Unclassified;IPR012548 Protein of unknown function DUF1704;IPR012656 Conserved hypothetical protein CHP02421, QEGLA;",NA,NA,NA,NA,NA,1,NA,1,NA
"InterPro2GO;Unclassified;IPR014251 Sporulation protease LonB;IPR027065 Lon protease;",NA,NA,NA,NA,NA,1,4,NA,1
"InterPro2GO;Unclassified;IPR014295 Anti-sigma factor;IPR024020 Anti sigma-R factor, mycothiol system,RsrA;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;Unclassified;IPR014807 Cytochrome c oxidase assembly factor 1;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR015001 Protein of unknown function DUF1850;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR015505 Coronin;IPR027333 Coronin 1C;",NA,NA,NA,NA,NA,1,1,NA,1
"InterPro2GO;Unclassified;IPR017096 BTB-kelch protein;IPR030562 Ectoderm-neural cortex protein 1;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR018736 Protein of unknown function DUF2279, periplasmic lipoprotein;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR018973 DEAD/DEAH-box helicase, putative;IPR022307 DEAD/DEAH-box helicase, putative, actinobacteria;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR019051 Trp biosynthesis associated, transmembrane protein, Oprn/Chp;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR019171 Caffeine-induced death protein 2;",NA,NA,NA,NA,NA,2,NA,NA,NA
"InterPro2GO;Unclassified;IPR019192 Ribosomal protein L28/L40, mitochondrial;IPR039145 39S ribosomal protein L40, mitochondrial;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;Unclassified;IPR019903 Repair of iron centres family;",NA,NA,NA,NA,NA,1,1,1,NA
"InterPro2GO;Unclassified;IPR021637 Protein of unknown function DUF3243;IPR024702 Uncharacterised conserved protein YmfJ;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR022606 Protein of unknown function DUF2914;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR022819 Poxvirus;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR023473 AMMECR1;IPR027623 AmmeMemoRadiSam system protein A;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR024188 Glutamate synthase large subunit-like protein;IPR027283 Glutamate synthase large subunit-like protein, bacteria;",NA,NA,NA,NA,NA,1,1,NA,NA
"InterPro2GO;Unclassified;IPR024925 Malonyl CoA-acyl carrier protein transacylase;IPR004410 Malonyl CoA-acyl carrier protein transacylase, FabD-type;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR034457 Organic radical-activating enzymes;IPR012839 Organic radical enzyme activase;IPR040074 BssD/PflA/YjjW;IPR034465 Pyruvate formate-lyase activase;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR039309 Biopterin transporter family;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR039614 Protein PLASTID MOVEMENT IMPAIRED 1-like;IPR039822 Protein PLASTID MOVEMENT IMPAIRED 1-RELATED 1;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;Unclassified;IPR041164 SLOG cluster4;",NA,NA,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000212 DNA helicase, UvrD/REP type;IPR005753 DNA helicase, ATP-dependent, UvrD type;",NA,NA,NA,NA,NA,NA,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000239 GPCR kinase;IPR032965 Rhodopsin kinase GRK1;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR000977 DNA ligase, ATP-dependent;IPR029710 DNA ligase 4;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001094 Flavodoxin-like;IPR023206 Bifunctional cytochrome P450/NADPH--cytochrome P450 reductase;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001241 DNA topoisomerase, type IIA;IPR000565 DNA topoisomerase, type IIA, subunit B;IPR005740 DNA topoisomerase 4 subunit B, Firmicutes/Mollicutes;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001269 tRNA-dihydrouridine synthase;IPR004652 tRNA-dihydrouridine synthase, TIM-barrel, NifR3;IPR032887 tRNA-dihydrouridine synthase B;",NA,NA,NA,NA,NA,NA,1,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001269 tRNA-dihydrouridine synthase;IPR032886 tRNA-dihydrouridine(16) synthase;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001518 Argininosuccinate synthase;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001806 Small GTPase;IPR020849 Small GTPase superfamily, Ras-type;",NA,NA,NA,NA,NA,NA,2,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002312 Aspartyl/Asparaginyl-tRNA synthetase, class IIb;IPR004523 Aspartate-tRNA synthetase, type 2;",NA,NA,NA,NA,NA,NA,3,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002736 Triphosphoribosyl-dephospho-CoA protein;IPR017555 Triphosphoribosyl-dephospho-CoA synthase;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004493 Leucyl-tRNA synthetase, class Ia, archaeal/eukaryotic cytosolic;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004531 Phenylalanyl-tRNA synthetase, class IIc, beta subunit, archae/euk cytosolic;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004535 Translation elongation factor, selenocysteine-specific;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005898 Cyclic peptide transporter;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR007743 Immunity-related GTPases-like;",NA,NA,NA,NA,NA,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR011181 Protein VP3, rotavirus;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR011912 ADP-L-glycero-D-manno-heptose-6-epimerase;",NA,NA,NA,NA,NA,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012220 Glutamate synthase, eukaryotic;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012853 Chloramphenicol phosphotransferase-like;",NA,NA,NA,NA,NA,NA,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR030880 DEAD-box ATP-dependent RNA helicase CshA;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR039215 RecQ-mediated genome instability protein 1;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000212 DNA helicase, UvrD/REP type;IPR005753 DNA helicase, ATP-dependent, UvrD type;",NA,NA,NA,NA,NA,NA,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000268 DNA-directed RNA polymerase, subunit N/Rpb10;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001241 DNA topoisomerase, type IIA;IPR000565 DNA topoisomerase, type IIA, subunit B;IPR005740 DNA topoisomerase 4 subunit B, Firmicutes/Mollicutes;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001723 Nuclear hormone receptor;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002681 Coat protein, Ilarvirus;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004475 DNA polymerase II large subunit DP2;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004535 Translation elongation factor, selenocysteine-specific;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005412 DNA-binding protein Fis;",NA,NA,NA,NA,NA,NA,3,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006165 Ku70;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR007264 H/ACA ribonucleoprotein complex, subunit Nop10;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR007783 Eukaryotic translation initiation factor 3 subunit D;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR009548 PRKR-interacting protein 1;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR010078 Pur operon repressor;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR010534 Bacteriophage 933W, GpQ;",NA,NA,NA,NA,NA,NA,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012751 CspD, cold shock;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012787 Pca transcription factor PcaQ;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR013949 U3 small nucleolar RNA-associated protein 6;",NA,NA,NA,NA,NA,NA,1,NA,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR014209 RNA polymerase sigma-K type;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR014476 AT-hook motif nuclear-localized protein 15-29;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR015660 Achaete-scute transcription factor-related;",NA,NA,NA,NA,NA,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR017924 RNA-binding protein YhbY;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR020607 DNA primase DnaG, archaea;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR031776 Splicing factor 3A subunit 3;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR037366 BOULE/DAZ family;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR039770 Ribosome biogenesis protein Rpf2;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR040322 60kDa SS-A/Ro ribonucleoprotein;",NA,NA,NA,NA,NA,NA,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR000831 Trp repressor;IPR013335 Trp repressor, bacterial;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR014209 RNA polymerase sigma-K type;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR024187 Signal transduction response regulator, citrate/malate metabolism;",NA,NA,NA,NA,NA,NA,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR026607 DMRT/protein doublesex/protein male abnormal 3;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR039970 Transcription factor Grauzone;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000892 Ribosomal protein S26e;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001266 Ribosomal protein S19e;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR040008 39S ribosomal protein L46, mitochondrial;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR002321 Cytochrome c, class II;IPR012127 Cytochrome c prime;IPR015984 Cytochrome c prime, subgroup;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR007802 Cytochrome b6-f complex subunit 6;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR009154 Membrane-bound tetrahaem cytochrome TorC/YecK;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR012049 Menaquinone:cytochrome c reductase, cytochrome b/c subunit;",NA,NA,NA,NA,NA,NA,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR000778 Cytochrome b245, heavy chain;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001128 Cytochrome P450;IPR002402 Cytochrome P450, E-class, group II;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001269 tRNA-dihydrouridine synthase;IPR004652 tRNA-dihydrouridine synthase, TIM-barrel, NifR3;IPR032887 tRNA-dihydrouridine synthase B;",NA,NA,NA,NA,NA,NA,1,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001269 tRNA-dihydrouridine synthase;IPR032886 tRNA-dihydrouridine(16) synthase;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR001557 L-lactate/malate dehydrogenase;IPR011304 L-lactate dehydrogenase;",NA,NA,NA,NA,NA,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR002202 Hydroxymethylglutaryl-CoA reductase, class I/II;IPR004554 Hydroxymethylglutaryl-CoA reductase, eukaryotic/archaeal type;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR003361 Acetaldehyde dehydrogenase;",NA,NA,NA,NA,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR004674 Alkylhydroperoxidase AhpD;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR005990 Inosine-5'-monophosphate dehydrogenase;IPR005991 IMP dehydrogenase-related 1;",NA,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;IPR005992 IMP dehydrogenase-related 2;",NA,NA,NA,NA,NA,NA,1,1,NA
